Volume Name,Volumes,Major_axis,Minor_axis,Solidity
1457_T2,129.719232,208.6954119,99.31164293,0.429904134
1465_T2,137.044224,213.7075535,104.2152727,0.432615834
1468_T2,134.466048,212.6021592,104.7442364,0.428042575
1469_T2,131.951808,209.9006865,100.8181793,0.432121192
1470_T2,136.96128,207.2610314,103.6700135,0.444888497
1471_T2,136.766016,213.6063424,100.9444307,0.428096992
1473_T2,131.91552,211.4458099,101.2130675,0.418659237
1474_T2,129.904128,212.9783354,105.9054031,0.428355717
1477_T2,124.535232,205.5268709,105.1471327,0.443755503
1483_T2,128.737728,214.7897476,105.1424148,0.418427408
1485_T2,131.839488,210.3734128,105.9990503,0.449006015
1490_T2,129.384,215.1909784,108.1688162,0.418717146
1494_T2,136.470528,214.8721696,106.1410424,0.426712773
1495_T2,130.69728,212.8719634,109.0901195,0.418247271
1704_T2,135.50976,216.1575638,107.5027321,0.414804314
1705_T2,126.112896,210.9873113,103.7548947,0.416072335
1706_T2,131.409216,214.7467045,105.9569561,0.419134911
1707_T2,134.440128,214.8187075,106.5154971,0.414660015
1709_T2,128.751552,213.5762866,105.7883251,0.41284485
1710_T2,128.65824,211.7304337,106.7798142,0.413044564
502_T2,133.121664,214.2487369,106.5475526,0.416511678
503_T2,122.1264,207.6050237,103.8285902,0.416122043
539_T2,131.248512,210.1626038,104.9322859,0.413350603
548_T2,123.640128,210.1926478,104.1443225,0.411915741
549_T2,132.43392,208.5479517,107.0291421,0.413224923
550_T2,130.113216,211.5865451,106.7021771,0.413020822
571_T2,131.010048,210.9142484,107.1953767,0.416713386
574_T2,134.18784,214.1666934,106.7058384,0.418896321
575_T2,131.264064,210.7959362,104.2439034,0.417243861
580_T2,123.23232,210.5039629,102.3558464,0.409237761
586_T2,131.286528,214.3064166,106.7714206,0.409225565
587_T2,130.31712,211.5441154,104.6407494,0.413931457
588_T2,134.06688,211.9987972,105.9917447,0.421007792
592_T2,131.288256,211.6056617,106.05026,0.411741435
597_T2,136.282176,213.4800825,107.6114453,0.414063033
600_T2,126.024768,205.6329921,102.7015515,0.414712923
