ID,Rest-of-Brain,External-Capsule,Hippocampus,Cerebellum,Brain-stem,Ventricles,Olfactory-bulb,Cortex,Hypothalamus,Thalamus,Caudate-Putamen,Total Brain Volume
1465_T2,100.26,20.2,29.08,67.9,43.03,14,45.6,137.04,7.03,37.89,20.82,427.41
1468_T2,103.39,20.96,30.9,63.98,52.12,15.03,47.13,134.47,8.49,39.28,21.94,436.36
1469_T2,93.2,20.99,31.21,63.99,47.42,13.3,42.7,131.95,6.03,34.92,19.8,406.54
1470_T2,100.04,22.49,30.55,68.06,46.87,14.22,46.63,136.96,7.39,40.28,21.97,436.53
1471_T2,97.94,21.66,30.58,69.86,49.54,15.3,41.07,136.77,7.06,37.21,19.94,429.41
1473_T2,92.25,20.17,28.28,66.57,47.75,14.34,40.09,131.92,6.8,36.29,17.69,414.46
1474_T2,93.5,20.3,28.16,65.95,46.18,14.01,44.5,129.9,6.21,35.62,18.06,414.25
1477_T2,86.01,19.57,24.86,63.13,45.94,11.65,36.59,124.54,6.59,32.3,16.68,392.15
1483_T2,104.69,20.68,31.24,65.66,51.53,13.85,39.16,128.74,7.83,41.14,19.29,415.02
1485_T2,88.73,20.36,26.24,66.26,47.08,12.31,40.98,131.84,6.49,34.93,17.51,404.52
1490_T2,93.64,20.7,27.36,67.51,51.09,12.86,36.8,129.38,7.33,35.03,17.09,423.34
1494_T2,96.14,21.06,29.18,66.63,52.79,13.81,39.15,136.47,6.49,36.41,19.59,430.63
1495_T2,98.22,20.16,28.51,66.86,52.64,13.22,36.88,130.7,8.03,36.8,18.36,432.51
1704_T2,99.59,22.15,31.85,75.5,50.44,13.83,40.93,135.51,6.2,37.31,20.45,440.96
1705_T2,94.23,20.17,29.56,71.02,53.06,12.87,36.2,126.11,6.48,36.1,18.76,416.53
1706_T2,96.22,20.25,29.72,78.65,48.23,13.42,37.9,131.41,4.91,36.95,20.07,427.71
1707_T2,100.23,21.91,31.82,78.93,55.05,14.01,36.03,134.44,6.9,38.37,19.4,441.67
1709_T2,94.11,20.85,30.4,75.15,49.51,12.52,36.45,128.75,6.59,37.15,19.37,421.79
539_T2,95,21.29,30.86,79.39,45.46,12.8,36.16,131.25,6.04,36.8,18.98,424.38
548_T2,91.25,19.14,29.05,77.6,42.5,12.64,34.23,123.64,6.47,35.98,18.13,401.56
549_T2,96.58,21.4,30.45,80.65,52.45,13.77,37.58,132.43,6.44,37.3,19.98,435.19
550_T2,99.15,20.25,29.59,77.72,49.55,14.06,36.34,130.11,6.17,38.24,20.4,425.52
571_T2,96.3,21.17,29.26,78.06,48.32,12.81,38.44,131.01,6.56,36.4,20.17,427.62
574_T2,98.33,21.66,29.94,77.93,49.73,13.68,37.82,134.19,6.96,37.97,20.54,430.66
575_T2,98.19,19.94,29.35,77.2,55.91,13.28,37.03,131.26,6.41,38.47,20.37,433.23
586_T2,99.53,20.97,30.42,74.46,53.38,14.01,38.4,131.29,6.09,39.09,20.66,433.67
587_T2,94.34,20.16,29.15,80.49,45.22,14.41,36.1,130.32,5.2,37.94,19.35,422.91
588_T2,95.23,21.95,30.79,81.62,45.43,12.24,36.3,134.07,6.26,36.02,19.09,427.77
592_T2,96.56,21.43,31.83,80.24,47.77,14.95,36.66,131.29,5.97,38.85,20.04,428.77
597_T2,98.49,21.8,30.79,83.89,49.91,14.43,37.65,136.28,6.45,38.9,20.11,444.19
600_T2,91.19,20.9,29.36,74.44,44.85,12.97,37.25,126.02,6.02,36.57,18.86,409.24
502_T2,95.46,19.92,29.02,79.46,44.97,12.95,36.08,133.12,5.73,36.96,20.52,430.30
1710_T2,94.12,19.90,29.88,74.87,48.97,12.86,37.90,128.66,6.02,36.98,19.48,425.38
1457_T2,91.02,21.61,30.34,72.33,51.75,12.26,38.68,129.72,6.77,35.01,18.98,419.24
503_T2,91.31,19.41,27.68,70.53,42.03,12.72,35.24,122.13,6.86,34.37,18.45,396.73
580_T2,89.98,20.12,29.36,73.55,41.00,12.70,35.45,123.23,6.03,33.86,18.87,402.33
