ID,Average Thickness
1458_T2,77.16695842
1459_T2,77.26251897
1460_T2,83.14641339
1461_T2,74.52303477
1462_T2,70.86071483
1463_T2,84.81353445
1466_T2,80.36866574
1467_T2,83.37486002
1475_T2,83.45510509
1479_T2,83.86565119
1488_T2,79.82698935
1489_T2,75.8184221
1491_T2,74.84562413
1492_T2,86.93893277
1496_T2,76.53689788
1498_T2,77.09833394
1701_T2,73.95085384
1702_T2,71.47676039
1703_T2,76.28776077
1708_T2,70.95771587
1712_T2,73.32848107
1713_T2,71.23637542
542_T2,66.71859011
543_T2,77.90538991
545_T2,70.05703387
546_T2,70.99084426
547_T2,69.66064529
572_T2,70.06464733
573_T2,71.71576724
576_T2,74.75328395
577_T2,73.3022117
578_T2,71.68735106
582_T2,70.38676752
583_T2,71.07036347
590_T2,69.95333149
591_T2,67.99563234
593_T2,66.55199
594_T2,75.63291592
595_T2,70.96336926
598_T2,72.51837928
599_T2,74.13443283
